BARRID,SED-CUS,LOCID,NAME,HBETA,PBETA,SRISK%,TRISK%,COUNTRY,BETA,MOMENTUM,SIZE,EARNYILD,RESVOL,GROWTH,BTOP,LEVERAGE,LIQUIDTY,SIZENL,INDNAME,IND,PRICE,CAPITALIZATION,YLD%,ESTU,ISOCURR,INTRA_MONTH_ADDITION,
CHNARJ1,,CN000516,XIANINTERNATIONAL,1.206,1.214,48.267,58.101,1.000,0.736,0.842,-0.891,-1.589,0.949,-2.091,-0.544,1.107,1.006,1.027,HEALTH,26,8.840,17424075829.680,0.000,1,CNY,0,
CHNARJ2,,CN000516,XIANINTERNATIONAL,1.206,1.214,48.267,58.101,1.000,0.736,0.842,-0.891,-1.589,0.949,-2.091,-0.544,1.107,1.006,1.027,HEALTH,26,8.840,17424075829.680,0.000,0,CNY,0,
CHNARK1,,CN600758,LIAONINGENERGYINDUSTRYCOLTD,0.622,0.945,36.272,48.197,1.000,-1.332,-2.513,-2.163,-0.821,0.334,-0.207,2.272,0.821,-0.304,0.393,MTLMIN,4,3.370,4455198617.780,0.179,1,CNY,0,
CHNARK2,,CN600758,LIAONINGENERGYINDUSTRYCOLTD,0.622,0.945,36.272,48.197,1.000,-1.332,-2.513,-2.163,-0.821,0.334,-0.207,2.272,0.821,-0.304,0.393,MTLMIN,4,3.370,4455198617.780,0.179,0,CNY,0,
CHNARL1,,CN600769,WUHANXIANGLONGPOWERINDUSTRYCOL,0.747,0.758,31.346,38.574,1.000,-0.892,-0.808,-2.906,-0.925,-0.333,-0.522,-1.321,-1.196,-1.315,-1.823,CNSTENG,8,5.360,2009877792.000,0.000,1,CNY,0,
CHNARM1,,CN000620,MACROLINKCULTURALTAINMENTDEVELOPM,0.805,1.044,43.988,54.850,1.000,-0.684,-2.720,-2.020,0.946,0.473,0.785,2.729,2.086,-1.664,0.635,REALEST,29,2.740,5196931750.800,0.000,1,CNY,0,
CHNARM2,,CN000620,MACROLINKCULTURALTAINMENTDEVELOPM,0.805,1.044,43.988,54.850,1.000,-0.684,-2.720,-2.020,0.946,0.473,0.785,2.729,2.086,-1.664,0.635,REALEST,29,2.740,5196931750.800,0.000,0,CNY,0,
CHNARN1,,CN600771,GUANGYUYUANCHINESEHERBALMED,1.008,1.114,36.735,47.664,1.000,0.033,-1.426,-1.712,-0.879,-0.055,0.616,-0.337,-0.821,0.390,0.984,HEALTH,26,14.700,7232395545.900,0.000,1,CNY,0,
CHNARN2,,CN600771,GUANGYUYUANCHINESEHERBALMED,1.005,1.114,36.735,47.664,1.000,0.033,-1.426,-1.712,-0.879,-0.055,0.616,-0.337,-0.821,0.390,0.984,HEALTH,26,14.700,7232395545.900,0.000,0,CNY,0,
CHNARO1,,CN600764,CHINAMARINEINFORMATIONELECTCOL,0.993,1.237,33.711,50.869,1.000,-0.019,-1.144,-0.606,-0.420,0.949,2.592,-0.531,-0.463,-0.386,0.833,AERODEF,6,33.300,23663958553.800,0.830,1,CNY,0,
